,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint Paul Harbor,81,US,1635073931,91,57.79,-152.4072,43.12,14.12
1,Upernavik,100,GL,1635073933,73,72.7868,-56.1549,17.35,12.35
2,Tuktoyaktuk,69,CA,1635073935,95,69.4541,-133.0374,21.4,5.79
3,Jamestown,90,US,1635073936,99,42.097,-79.2353,45.99,1.01
4,Qaanaaq,0,GL,1635073938,59,77.484,-69.3632,-0.09,8.95
5,Wilmington,1,US,1635073861,94,34.2257,-77.9447,63.86,3.44
6,Tazovsky,99,RU,1635073942,96,67.4667,78.7,27.86,12.84
7,Tuatapere,90,NZ,1635073944,97,-46.1333,167.6833,52.03,1.81
8,Carnarvon,75,AU,1635073945,78,-24.8667,113.6333,71.67,18.41
9,Bredasdorp,67,ZA,1635073947,39,-34.5322,20.0403,68.29,7.07
10,Tasiilaq,100,GL,1635073949,93,65.6145,-37.6368,32.16,21.03
11,Fortuna,90,US,1635073951,72,40.5982,-124.1573,59.34,7.0
12,Albany,6,US,1635073667,91,42.6001,-73.9662,39.54,3.56
13,Ushuaia,75,AR,1635073949,87,-54.8,-68.3,35.26,14.97
14,Nabire,100,ID,1635073784,88,-3.3667,135.4833,77.07,2.93
15,Butaritari,94,KI,1635073958,70,3.0707,172.7902,80.76,2.01
16,Sulina,4,RO,1635073960,41,45.1559,29.6536,55.35,17.96
17,Rikitea,86,PF,1635073962,73,-23.1203,-134.9692,74.52,17.27
18,Fairbanks,90,US,1635073894,88,64.8378,-147.7164,31.82,3.44
19,Katsuura,100,JP,1635073965,61,35.1333,140.3,60.91,7.7
20,Clyde River,68,CA,1635073967,79,70.4692,-68.5914,14.58,9.33
21,Saskylakh,92,RU,1635073969,98,71.9167,114.0833,-2.42,6.62
22,Mar del Plata,0,AR,1635073780,56,-38.0023,-57.5575,52.88,8.01
23,Vaini,20,TO,1635073973,83,-21.2,-175.2,69.96,5.75
24,Yuzhno-Sukhokumsk,100,RU,1635073975,50,44.6581,45.6436,66.25,8.16
25,San Juan Bautista,17,PE,1635073977,69,-14.0108,-75.7358,51.17,2.44
26,Silver City,1,US,1635073978,57,32.7701,-108.2803,52.63,4.0
27,Vao,50,NC,1635073980,75,-22.6667,167.4833,70.92,14.41
28,Kruisfontein,85,ZA,1635073982,42,-34.0033,24.7314,63.07,8.43
29,Kapaa,75,US,1635073984,84,22.0752,-159.319,75.52,16.11
30,Rock Springs,90,US,1635073986,81,41.5875,-109.2029,36.05,5.23
31,Gemena,29,CD,1635073988,43,3.25,19.7667,94.03,0.22
32,Touros,61,BR,1635073989,68,-5.1989,-35.4608,85.1,13.38
33,Kuytun,74,RU,1635073991,69,54.3419,101.5036,36.7,5.88
34,Mahajanga,20,MG,1635073994,52,-15.7167,46.3167,91.42,17.27
35,Bluff,100,NZ,1635073995,94,-46.6,168.3333,52.07,4.03
36,Punta Arenas,90,CL,1635073997,87,-53.15,-70.9167,37.51,17.27
37,Banda Aceh,100,ID,1635073999,78,5.5577,95.3222,81.14,5.41
38,Hermanus,30,ZA,1635074001,54,-34.4187,19.2345,71.91,10.31
39,Sitka,20,US,1635074003,66,57.0531,-135.33,46.29,10.36
40,Burnie,15,AU,1635074005,65,-41.0667,145.9167,47.95,9.17
41,Fare,100,PF,1635074007,88,-16.7,-151.0167,76.32,10.2
42,Hong Kong,7,HK,1635073869,67,22.2855,114.1577,74.32,5.99
43,Mataura,99,NZ,1635074010,90,-46.1927,168.8643,51.8,0.54
44,Roald,75,NO,1635074012,66,62.5833,6.1333,55.09,12.66
45,Hobart,75,AU,1635073967,83,-42.8794,147.3294,48.06,14.97
